"Species","Type","Orthologue","Target %id","Query %id","GOC Score","WGA Coverage","High Confidence"
"Mallard (Anas platyrhynchos)","1-to-1View Gene Tree","PLGRKT  (ENSAPLG00020009439)Compare Regions (Z:29,074,395-29,100,113:-1)View Sequence Alignments","70.07 %","70.07 %","100","100.00","Yes"
"Anole lizard (Anolis carolinensis)","1-to-1View Gene Tree","PLGRKT  (ENSACAG00000003966)Compare Regions (2:52,310,227-52,319,008:-1)View Sequence Alignments","70.75 %","70.75 %","100","100.00","Yes"
"Pink-footed goose (Anser brachyrhynchus)","1-to-1View Gene Tree","PLGRKT  (ENSABRG00000021727)Compare Regions (NXHY01000227.1:229,559-256,617:-1)View Sequence Alignments","70.75 %","70.75 %","100","100.00","Yes"
"Great spotted kiwi (Apteryx haastii)","1-to-1View Gene Tree","PLGRKT  (ENSAHAG00000006216)Compare Regions (PTFD01000731.1:132,076-160,884:-1)View Sequence Alignments","68.71 %","68.71 %","100","100.00","Yes"
"Okarito brown kiwi (Apteryx rowi)","1-to-1View Gene Tree","PLGRKT  (ENSARWG00000004601)Compare Regions (PTFB01000062.1:235,345-264,474:-1)View Sequence Alignments","68.03 %","68.03 %","100","100.00","Yes"
"Golden eagle (Aquila chrysaetos chrysaetos)","1-to-1View Gene Tree","PLGRKT  (ENSACCG00020014461)Compare Regions (Z:56,370,770-56,399,589:1)View Sequence Alignments","69.39 %","69.39 %","100","100.00","Yes"
"Burrowing owl (Athene cunicularia)","1-to-1View Gene Tree","PLGRKT  (ENSACUG00000014400)Compare Regions (QEEU01000033.1:2,940,880-2,973,279:-1)View Sequence Alignments","67.35 %","67.35 %","100","100.00","Yes"
"Ruff (Calidris pugnax)","1-to-1View Gene Tree","PLGRKT  (ENSCPUG00000018488)Compare Regions (KQ482301.1:2,217,194-2,245,229:-1)View Sequence Alignments","68.03 %","68.03 %","100","100.00","Yes"
"Spoon-billed sandpiper (Calidris pygmaea)","1-to-1View Gene Tree","PLGRKT  (ENSCPGG00000009145)Compare Regions (QJSC01004499.1:236,808-264,172:1)View Sequence Alignments","68.03 %","68.03 %","100","100.00","Yes"
"Abingdon island giant tortoise (Chelonoidis abingdonii)","1-to-1View Gene Tree","PLGRKT  (ENSCABG00000004330)Compare Regions (PKMU01000400.1:369,543-413,607:-1)View Sequence Alignments","71.43 %","71.43 %","100","100.00","Yes"
"Emu (Dromaius novaehollandiae)","1-to-1View Gene Tree","PLGRKT  (ENSDNVG00000014981)Compare Regions (PTEY01000184.1:1,958,683-1,988,116:1)View Sequence Alignments","67.35 %","67.35 %","100","100.00","Yes"
"Goodes thornscrub tortoise (Gopherus evgoodei)","1-to-1View Gene Tree","PLGRKT  (ENSGEVG00005017508)Compare Regions (6:44,533,639-44,577,664:-1)View Sequence Alignments","72.11 %","72.11 %","100","100.00","Yes"
